apps,OS,year,regressions,code,bugs
App65,iOS,2011,78.82,54365564,12269
App6,Mac,2009,81.235,10794968,12217
App41,Linux,2018,37.485,551201,12154
App115,iOS,2016,70.45,5383010,12126
App71,Windows,2015,64.766,43805450,12104
App76,Linux,2018,47.808,6036914,12057
App115,iOS,2014,70.98,5199318,12037
App103,iOS,2017,69.61,38625976,12017
App83,Android,2018,58.299,108700891,12013
App61,Windows,2012,65.742,35480679,11889
App46,Linux,2014,56.564,880397,11864
App97,Mac,2012,71.197,1004533,11848
App76,Linux,2014,62.155,3799845,11771
App104,iOS,2013,74.06,9859650,11754
App85,iOS,2014,73.981,569473,11733
App57,iOS,2016,69.39,10244684,11713
App57,iOS,2012,69.95,10637171,11675
App62,Windows,2014,58.811,16543189,11644
App32,iOS,2017,68.5,4481020,11628
App110,Windows,2009,72.777,4943029,11626
App61,Windows,2018,49.325,69453570,11606
App130,Android,2017,68.976,1101832,11461
App137,Android,2018,73.747,26084662,11416
App46,Linux,2011,60.19,537977,11402
App34,iOS,2010,75.51,9835109,11399
App115,iOS,2013,71.08,5048043,11349
App32,iOS,2012,72.527,4318673,11305
App85,iOS,2013,74.101,562548,11223
App114,Windows,2012,75.788,2325300,11210
App56,Windows,2012,77.601,4583700,11186
App137,Android,2013,68.557,15620766,11152
App63,iOS,2012,75.467,3271900,11151
App126,Windows,2014,73.4,19757799,11055
App14,Linux,2017,50.728,1630347,11004
App10,iOS,2009,79.441,9218400,10991
App5,Android,2016,67.065,36203463,10967
App82,Linux,2018,60.246,1250882,10957
App115,iOS,2012,71.38,4827803,10923
App44,iOS,2010,78.37,4605744,10922
App107,iOS,2018,66.8,22276056,10808
App24,Android,2017,60.523,15497046,10779
App7,iOS,2009,79.829,7129864,10751
App83,Android,2017,60.11,102479927,10742
App137,Android,2015,71.15,20265563,10734
App16,iOS,2018,69.51,7322858,10681
App119,iOS,2011,78.77,34513161,10639
App97,Mac,2011,72.499,829050,10618
App136,Android,2018,76.384,3447496,10611
App45,iOS,2009,80.657,47124000,10560
App57,iOS,2015,69.5,10348684,10536
App112,iOS,2011,72.232,8313288,10522
App137,Android,2011,65.712,11515649,10505
App73,Windows,2018,62.094,3921278,10461
App58,iOS,2009,81.757,182053,10350
App105,Android,2013,73.911,3279001,10331
App79,Mac,2017,59.371,22662365,10207
App104,iOS,2012,74.86,9662600,10172
App57,iOS,2011,71.04,10394091,10169
App137,Android,2016,72.146,22374398,10165
App103,iOS,2016,70.67,38654957,10160
App34,iOS,2009,76.486,9620282,10137
App79,Mac,2016,63.01,20476091,10133
App24,Android,2016,63.441,14599929,10118
App5,Android,2012,71.868,26983828,10079
App65,iOS,2010,80.24,52667100,10022
App137,Android,2014,70.19,17910182,9884
App32,iOS,2016,69.61,4444595,9876
App67,Windows,2010,82,100825279,9848
App99,Android,2018,61.817,3242173,9809
App112,iOS,2018,64.531,10150265,9787
App105,Android,2012,74.63,3080828,9771
App83,Android,2016,62.361,95895146,9767
App107,iOS,2014,69.46,22686371,9696
App115,iOS,2011,72.71,4593433,9674
App30,Android,2018,62.842,4133884,9645
App76,Linux,2015,57.442,4364501,9640
App61,Windows,2011,68.042,30614000,9614
App83,Android,2013,69.498,71640904,9611
App107,iOS,2013,69.53,22356726,9605
App85,iOS,2012,74.543,560073,9596
App62,Windows,2011,60.413,10061506,9576
App137,Android,2010,63.479,9709552,9541
App76,Linux,2017,50.227,5368585,9535
App63,iOS,2011,76.122,3024400,9531
App103,iOS,2012,71.32,34621254,9508
App115,iOS,2015,70.8,5302888,9498
App83,Android,2015,65.032,88111030,9472
App76,Linux,2016,52.773,4759670,9467
App5,Android,2011,73.275,24779799,9443
App116,iOS,2010,76.66,1646912,9405
App44,iOS,2009,79.313,4491443,9372
App107,iOS,2012,69.66,21658597,9356
App57,iOS,2010,72.59,10223422,9327
App112,iOS,2015,70.162,9826397,9325
App73,Windows,2017,63.87,3677780,9314
App5,Android,2015,68.481,33958947,9308
App118,Linux,2018,49.339,43997828,9270
App85,iOS,2018,63.728,684736,9254
App61,Windows,2017,52.469,66907826,9241
App136,Android,2016,74.223,3262838,9230
App32,iOS,2011,73.68,4225310,9164
App5,Android,2014,69.942,31620918,9140
App105,Android,2011,74.917,2847132,9123
App130,Android,2013,68.832,1116479,9120
App103,iOS,2014,70.98,37740710,9082
App15,Android,2018,55.665,190010647,9066
App82,Linux,2017,61.557,1201706,9022
App104,iOS,2011,75.97,8970450,9022
App5,Android,2013,70.774,29341374,8998
App33,Android,2018,65.246,11416987,8948
App62,Windows,2010,62.038,8519282,8931
App5,Android,2017,65.634,38331121,8798
App130,Android,2016,69.465,1138101,8793
App73,Windows,2016,65.421,3430388,8755
App83,Android,2014,67.405,80122492,8688
App73,Windows,2012,69.292,3115787,8660
App14,Linux,2016,51.52,1536536,8647
App137,Android,2017,72.766,24287670,8605
App114,Windows,2011,77.158,2152400,8598
App118,Linux,2013,55.527,31140029,8568
App71,Windows,2014,67.123,41622000,8533
App50,iOS,2010,78.256,8716441,8513
App132,iOS,2018,71.777,71158647,8458
App103,iOS,2013,70.99,36227381,8452
App32,iOS,2015,70.46,4494013,8448
App137,Android,2009,60.77,8143375,8423
App115,iOS,2010,73.8,4442238,8413
App64,Windows,2010,79.696,2693585,8394
App46,Linux,2010,60.461,489004,8359
App62,Windows,2009,65.044,7240260,8342
App56,Windows,2011,80,4115700,8316
App61,Windows,2016,55.234,63327987,8264
App65,iOS,2009,80.546,50843200,8244
App16,iOS,2014,70.9,8971958,8240
App16,iOS,2013,71.08,8892098,8224
App136,Android,2015,72.752,3149262,8137
App15,Android,2017,57.632,179914212,8131
App5,Android,2010,74.34,22934225,8053
App118,Linux,2012,58.161,27129932,8029
App107,iOS,2011,69.72,20662648,8011
App103,iOS,2011,72.75,33039545,8007
App119,iOS,2010,79.78,32850275,7994
App112,iOS,2010,73.213,7971222,7992
App15,Android,2016,59.504,168546719,7958
App14,Linux,2015,52.556,1342614,7954
App112,iOS,2016,68.7,10336594,7914
App130,Android,2012,68.3,1039009,7900
App107,iOS,2017,66.8,22404337,7885
App118,Linux,2014,53.696,35933379,7826
App15,Android,2014,63.336,142938076,7807
App85,iOS,2011,74.865,527678,7778
App118,Linux,2011,60.236,23935810,7766
App103,iOS,2015,70.85,38370697,7739
App136,Android,2017,75.307,3363085,7727
App30,Android,2017,65.424,3834934,7723
App118,Linux,2017,49.951,44433622,7711
App41,Linux,2017,38.987,495627,7703
App16,iOS,2017,70.32,7661799,7697
App83,Android,2012,71.455,63759976,7675
App106,Linux,2018,57.666,798094,7670
App63,iOS,2010,77.783,2900100,7656
App73,Windows,2013,67.926,3086876,7641
App16,iOS,2012,71.19,8797022,7612
App61,Windows,2013,63.04,43072751,7608
App24,Android,2015,67.052,13572994,7596
App57,iOS,2009,73.338,10063000,7550
App33,Android,2014,73.717,10239839,7533
App73,Windows,2011,70.265,2680018,7486
App115,iOS,2009,74.663,4237384,7481
App118,Linux,2016,51.927,42835005,7479
App128,Windows,2018,70.616,65068149,7458
App136,Android,2014,71.918,3045153,7452
App13,iOS,2018,61.93,4552198,7446
App66,Android,2011,72.047,2016616,7434
App38,Android,2016,58.796,11911819,7429
App82,Linux,2016,62.944,1149818,7426
App126,Windows,2013,72.16,18501390,7426
App101,Android,2018,49.096,28674757,7409
App66,Android,2015,70.11,2378618,7405
App116,iOS,2009,77.926,1582962,7402
App130,Android,2014,69.582,1191336,7389
App130,Android,2015,69.862,1183669,7371
App99,Android,2017,64.071,2990875,7356
App107,iOS,2016,69.21,22562458,7347
App66,Android,2018,65.61,2780132,7321
App33,Android,2013,74.174,9789224,7317
App79,Mac,2015,65.256,18319502,7278
App61,Windows,2015,57.702,60397973,7236
App112,iOS,2017,66.914,10111559,7236
App118,Linux,2015,53.365,39964159,7225
App38,Android,2013,67.231,8365850,7214
App5,Android,2009,75.32,21283783,7133
App66,Android,2016,69,2531311,7122
App99,Android,2016,66.216,2734531,7114
App118,Linux,2010,60.834,20997321,7114
App139,Windows,2016,71.096,2826046,7111
App64,Windows,2009,80.745,2310904,7106
App38,Android,2015,61.31,10748394,7104
App131,Linux,2018,73.923,10276158,7093
App99,Android,2014,70.472,2253639,7035
App15,Android,2013,65.205,128962939,7031
App99,Android,2013,71.523,2036305,7010
App26,Android,2018,57.863,44227550,7007
App85,iOS,2015,73.066,621621,7003
App66,Android,2017,67.51,2664659,6995
App32,iOS,2010,74.876,4174366,6960
App15,Android,2015,61.489,155975974,6950
App105,Android,2010,77.778,2648961,6929
App136,Android,2013,70.805,2953997,6920
App73,Windows,2015,66.099,3219994,6891
App38,Android,2018,54.64,13755680,6873
App83,Android,2011,73.67,55984294,6809
App76,Linux,2009,73.952,1441863,6757
App38,Android,2012,69.613,7278866,6680
App30,Android,2016,67.849,3518107,6677
App15,Android,2012,67.057,114313951,6660
App66,Android,2012,71.77,2156814,6650
App61,Windows,2014,59.62,51889696,6643
App63,iOS,2009,78.885,2830000,6632
App46,Linux,2009,61.366,455661,6631
App130,Android,2011,65.9,975199,6620
App99,Android,2015,68.681,2484997,6619
App132,iOS,2016,68.835,63047647,6601
App107,iOS,2015,69.36,22797027,6598
App16,iOS,2011,71.34,8576200,6597
App67,Windows,2009,82.603,95831757,6577
App85,iOS,2017,67.178,720230,6557
App103,iOS,2010,74.67,31785378,6557
App132,iOS,2017,70.845,67308928,6508
App136,Android,2012,69.481,2873520,6504
App38,Android,2014,64.342,9545158,6482
App107,iOS,2010,71.322,19284814,6471
App85,iOS,2016,70.636,692651,6466
App101,Android,2013,64.134,18125129,6435
App33,Android,2012,74.414,9537988,6380
App104,iOS,2010,77.29,9103000,6362
App101,Android,2014,61.406,20195924,6361
App66,Android,2014,71.21,2326606,6351
App33,Android,2017,68.29,11226999,6341
App106,Linux,2017,60.542,743981,6316
App16,iOS,2015,70.81,8658506,6303
App112,iOS,2009,74.002,7616060,6290
App101,Android,2012,66.458,15990099,6281
App3,Linux,2018,48.303,33333216,6223
App14,Linux,2014,53.298,1151184,6206
App56,Windows,2010,81.495,3722800,6198
App30,Android,2015,70.75,3173216,6160
App66,Android,2010,72.262,1861096,6125
App26,Android,2016,61.623,37657830,6117
App106,Linux,2015,67.064,622191,6101
App106,Linux,2016,64.274,684810,6072
App66,Android,2013,71.766,2298309,6068
App82,Linux,2015,64.93,1096202,6058
App37,Android,2018,53.459,9320092,6025
App13,iOS,2017,64.79,4165416,6019
App139,Windows,2015,69.718,2104779,6018
App50,iOS,2009,79.483,8448233,6017
App73,Windows,2010,71.028,2186894,6007
App16,iOS,2016,70.42,8066057,5970
App101,Android,2011,68.386,13954700,5938
App2,iOS,2018,64.82,3600523,5937
App30,Android,2012,75.713,2108457,5927
App128,Windows,2017,68.564,62806748,5913
App101,Android,2017,51.445,26769436,5909
App85,iOS,2010,75.435,501035,5908
App61,Windows,2010,69.451,26538000,5907
App128,Windows,2016,67.521,60216677,5853
App101,Android,2016,55.448,24748122,5838
App101,Android,2010,69.906,12132200,5788
App38,Android,2017,56.678,12921234,5773
App118,Linux,2009,61.888,18356657,5769
App26,Android,2017,59.963,41008227,5755
App83,Android,2010,74.902,47995559,5755
App3,Linux,2013,65.799,20033753,5745
App40,Android,2018,52.307,6939688,5728
App131,Linux,2017,73.042,9770575,5723
App73,Windows,2009,71.993,1886848,5715
App136,Android,2011,68.673,2829526,5703
App119,iOS,2009,80.941,31158061,5694
App33,Android,2010,77.158,8139332,5690
App3,Linux,2014,61.368,23254956,5681
App132,iOS,2015,66.146,58179144,5678
App30,Android,2014,73.45,2799811,5630
App71,Windows,2013,69.81,39326000,5623
App130,Android,2010,65.4,960155,5621
App136,Android,2009,68.253,2598466,5603
App126,Windows,2012,70.59,16785196,5597
App33,Android,2015,72.649,10723260,5593
App39,Linux,2018,46.992,80264543,5581
App16,iOS,2010,72.14,8310226,5577
App24,Android,2014,70.565,12463354,5547
App4,Linux,2010,41.003,5247469,5523
App24,Android,2011,75.816,9717524,5494
App93,Android,2012,65.843,2554598,5486
App32,iOS,2009,75.748,4076557,5478
App4,Linux,2011,40.963,5894858,5473
App26,Android,2015,63.837,34202721,5445
App136,Android,2010,68.468,2748579,5445
App33,Android,2016,70.723,10983007,5432
App73,Windows,2014,66.983,3089353,5377
App99,Android,2011,73.738,1616384,5364
App40,Android,2017,55.855,6353681,5352
App99,Android,2012,72.462,1839782,5352
App103,iOS,2009,75.563,30329617,5339
App33,Android,2011,76.151,8831348,5305
App106,Linux,2014,69.885,562035,5303
App3,Linux,2017,51.407,31287142,5288
App38,Android,2011,72.312,6298651,5281
App106,Linux,2013,71.913,517810,5267
App30,Android,2013,74.752,2424367,5263
App79,Mac,2014,68,16331785,5250
App66,Android,2009,72.567,1665128,5246
App51,Android,2018,46.954,12572928,5186
App33,Android,2009,78.273,7254373,5181
App40,Android,2016,56.604,5783439,5155
App40,Android,2012,66.798,4282586,5139
App30,Android,2011,77.26,1834796,5118
App105,Android,2009,78.746,2448046,5108
App24,Android,2010,77.86,8858908,5107
App139,Windows,2014,67.046,1691210,5107
App24,Android,2013,72.492,11487112,5096
App132,iOS,2014,63.108,52881328,5089
App106,Linux,2011,74.772,461633,5048
App3,Linux,2015,58.014,26298373,5023
App130,Android,2009,64.9,887498,4998
App15,Android,2011,69.388,100840058,4986
App114,Windows,2010,78.77,2012600,4977
App25,Windows,2018,44.50136,1318683096,4959
App101,Android,2009,71.421,10516500,4957
App79,Mac,2013,69.5,14441916,4920
App3,Linux,2012,67.744,17152804,4910
App26,Android,2014,66.653,30964245,4903
App29,Linux,2013,55.322,1774735,4880
App51,Android,2012,63.373,5703430,4880
App131,Linux,2016,71.973,9231669,4877
App51,Android,2017,50.016,11178650,4858
App51,Android,2013,60.782,6395630,4820
App89,Linux,2018,48.386,2055080,4811
App3,Linux,2016,54.518,29072015,4797
App4,Linux,2018,34,12420476,4797
App82,Linux,2014,66.711,1042663,4784
App13,iOS,2016,67.45,3607000,4766
App24,Android,2012,74.126,10599793,4757
App39,Linux,2017,49.293,73312559,4755
App107,iOS,2009,72.476,18680721,4735
App104,iOS,2009,78.098,9019800,4728
App97,Mac,2010,74.193,714775,4721
App56,Windows,2009,82.208,3305200,4693
App93,Android,2011,68.426,2182908,4689
App51,Android,2016,53.738,9803875,4684
App71,Windows,2012,72.244,36436000,4657
App85,iOS,2009,75.445,474528,4650
App93,Android,2010,70.836,1865490,4643
App128,Windows,2015,67.298,56667095,4617
App2,iOS,2017,66.22,3508512,4604
App83,Android,2009,76.195,41121485,4582
App38,Android,2010,74.173,5432424,4579
App37,Android,2017,56.751,8650322,4564
App14,Linux,2013,56.024,970347,4551
App40,Android,2011,69.535,3790903,4520
App24,Android,2009,78.553,7961258,4519
App68,Windows,2018,48.126,6053193,4519
App139,Windows,2017,72.37,3389578,4515
App122,Linux,2018,39.613,1133066,4513
App62,Windows,2018,51.457,27499638,4471
App68,Windows,2014,63.739,2820042,4449
App101,Android,2015,58.447,22430449,4446
App40,Android,2015,56.696,5274649,4444
